/Users/joe-caozhi/Library/Python/3.9/lib/python/site-packages/gymnasium/envs/registration.py:519: DeprecationWarning: [33mWARN: The environment Hopper-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(

========================================================================
  Off-Policy vs On-Policy Comparison
  Envs:  ['Hopper-v4', 'Walker2d-v4', 'HalfCheetah-v4']
  Algos: ['SAC', 'TD3']  (SAC/TD3: 1,000,000 steps)
  Seeds: [42, 123, 456, 789, 1234]
  Total runs: 30
========================================================================


  [1/30] Hopper-v4 | SAC | seed=42
[SAC] Step   10240/1000000 | Eval:     97.5 | Buffer:   10240 | Elapsed: 2s
[SAC] Step   20480/1000000 | Eval:    206.5 | Buffer:   20480 | Elapsed: 63s
[SAC] Step   30720/1000000 | Eval:    318.1 | Buffer:   30720 | Elapsed: 125s
[SAC] Step   40960/1000000 | Eval:    129.0 | Buffer:   40960 | Elapsed: 182s
[SAC] Step   51200/1000000 | Eval:    317.6 | Buffer:   51200 | Elapsed: 240s
[SAC] Step   61440/1000000 | Eval:    511.7 | Buffer:   61440 | Elapsed: 296s
[SAC] Step   71680/1000000 | Eval:    333.2 | Buffer:   71680 | Elapsed: 351s
[SAC] Step   81920/1000000 | Eval:    410.8 | Buffer:   81920 | Elapsed: 407s
[SAC] Step   92160/1000000 | Eval:    391.2 | Buffer:   92160 | Elapsed: 462s
[SAC] Step  102400/1000000 | Eval:    703.2 | Buffer:  102400 | Elapsed: 526s
[SAC] Step  112640/1000000 | Eval:    936.0 | Buffer:  112640 | Elapsed: 595s
[SAC] Step  122880/1000000 | Eval:   1047.6 | Buffer:  122880 | Elapsed: 663s
[SAC] Step  133120/1000000 | Eval:    826.9 | Buffer:  133120 | Elapsed: 726s
[SAC] Step  143360/1000000 | Eval:    700.2 | Buffer:  143360 | Elapsed: 791s
[SAC] Step  153600/1000000 | Eval:    993.6 | Buffer:  153600 | Elapsed: 858s
[SAC] Step  163840/1000000 | Eval:   1306.0 | Buffer:  163840 | Elapsed: 927s
[SAC] Step  174080/1000000 | Eval:   1044.0 | Buffer:  174080 | Elapsed: 994s
[SAC] Step  184320/1000000 | Eval:   1013.7 | Buffer:  184320 | Elapsed: 1058s
[SAC] Step  194560/1000000 | Eval:    919.1 | Buffer:  194560 | Elapsed: 1124s
[SAC] Step  204800/1000000 | Eval:    765.8 | Buffer:  204800 | Elapsed: 1197s
[SAC] Step  215040/1000000 | Eval:   1103.4 | Buffer:  215040 | Elapsed: 1277s
[SAC] Step  225280/1000000 | Eval:   1695.4 | Buffer:  225280 | Elapsed: 1362s
[SAC] Step  235520/1000000 | Eval:   1170.7 | Buffer:  235520 | Elapsed: 1451s
[SAC] Step  245760/1000000 | Eval:   1727.7 | Buffer:  245760 | Elapsed: 1539s
[SAC] Step  256000/1000000 | Eval:   1171.1 | Buffer:  256000 | Elapsed: 1627s
[SAC] Step  266240/1000000 | Eval:   1627.0 | Buffer:  266240 | Elapsed: 1712s
[SAC] Step  276480/1000000 | Eval:   3112.0 | Buffer:  276480 | Elapsed: 1800s
[SAC] Step  286720/1000000 | Eval:   3127.1 | Buffer:  286720 | Elapsed: 1894s
[SAC] Step  296960/1000000 | Eval:   1260.4 | Buffer:  296960 | Elapsed: 1996s
[SAC] Step  307200/1000000 | Eval:   1152.7 | Buffer:  307200 | Elapsed: 2099s
[SAC] Step  317440/1000000 | Eval:   1660.6 | Buffer:  317440 | Elapsed: 2197s
[SAC] Step  327680/1000000 | Eval:   1530.2 | Buffer:  327680 | Elapsed: 2293s
[SAC] Step  337920/1000000 | Eval:   3152.8 | Buffer:  337920 | Elapsed: 2393s
[SAC] Step  348160/1000000 | Eval:   1051.6 | Buffer:  348160 | Elapsed: 2488s
[SAC] Step  358400/1000000 | Eval:   3000.6 | Buffer:  358400 | Elapsed: 2582s
[SAC] Step  368640/1000000 | Eval:   1856.6 | Buffer:  368640 | Elapsed: 2670s
[SAC] Step  378880/1000000 | Eval:   1022.8 | Buffer:  378880 | Elapsed: 2764s
[SAC] Step  389120/1000000 | Eval:   1710.7 | Buffer:  389120 | Elapsed: 2860s
[SAC] Step  399360/1000000 | Eval:   2762.2 | Buffer:  399360 | Elapsed: 2959s
[SAC] Step  409600/1000000 | Eval:   3064.6 | Buffer:  409600 | Elapsed: 3059s
[SAC] Step  419840/1000000 | Eval:   1878.4 | Buffer:  419840 | Elapsed: 3150s
[SAC] Step  430080/1000000 | Eval:   3238.9 | Buffer:  430080 | Elapsed: 3236s
[SAC] Step  440320/1000000 | Eval:   2112.6 | Buffer:  440320 | Elapsed: 3341s
[SAC] Step  450560/1000000 | Eval:   1076.9 | Buffer:  450560 | Elapsed: 3491s
[SAC] Step  460800/1000000 | Eval:   2820.3 | Buffer:  460800 | Elapsed: 3650s
[SAC] Step  471040/1000000 | Eval:    984.8 | Buffer:  471040 | Elapsed: 3799s
[SAC] Step  481280/1000000 | Eval:   3266.5 | Buffer:  481280 | Elapsed: 3936s
[SAC] Step  491520/1000000 | Eval:   3292.2 | Buffer:  491520 | Elapsed: 4072s
[SAC] Step  501760/1000000 | Eval:   2695.4 | Buffer:  501760 | Elapsed: 4218s
[SAC] Step  512000/1000000 | Eval:   2170.7 | Buffer:  512000 | Elapsed: 4355s
[SAC] Step  522240/1000000 | Eval:   2745.2 | Buffer:  522240 | Elapsed: 4491s
[SAC] Step  532480/1000000 | Eval:   1047.3 | Buffer:  532480 | Elapsed: 4628s
[SAC] Step  542720/1000000 | Eval:   3346.9 | Buffer:  542720 | Elapsed: 4763s
[SAC] Step  552960/1000000 | Eval:    984.3 | Buffer:  552960 | Elapsed: 4898s
[SAC] Step  563200/1000000 | Eval:   2401.8 | Buffer:  563200 | Elapsed: 5021s
[SAC] Step  573440/1000000 | Eval:   3324.6 | Buffer:  573440 | Elapsed: 5138s
[SAC] Step  583680/1000000 | Eval:   3347.1 | Buffer:  583680 | Elapsed: 5227s
[SAC] Step  593920/1000000 | Eval:   3286.3 | Buffer:  593920 | Elapsed: 5315s
[SAC] Step  604160/1000000 | Eval:   1200.9 | Buffer:  604160 | Elapsed: 5399s
[SAC] Step  614400/1000000 | Eval:   3156.4 | Buffer:  614400 | Elapsed: 5483s
[SAC] Step  624640/1000000 | Eval:   3319.1 | Buffer:  624640 | Elapsed: 5567s
[SAC] Step  634880/1000000 | Eval:   3153.8 | Buffer:  634880 | Elapsed: 5651s
[SAC] Step  645120/1000000 | Eval:   3345.6 | Buffer:  645120 | Elapsed: 5735s
[SAC] Step  655360/1000000 | Eval:   3318.1 | Buffer:  655360 | Elapsed: 5819s
[SAC] Step  665600/1000000 | Eval:   2054.6 | Buffer:  665600 | Elapsed: 5902s
[SAC] Step  675840/1000000 | Eval:   3317.4 | Buffer:  675840 | Elapsed: 5986s
[SAC] Step  686080/1000000 | Eval:   1919.2 | Buffer:  686080 | Elapsed: 6070s
[SAC] Step  696320/1000000 | Eval:   3288.8 | Buffer:  696320 | Elapsed: 6154s
[SAC] Step  706560/1000000 | Eval:   3376.1 | Buffer:  706560 | Elapsed: 6239s
[SAC] Step  716800/1000000 | Eval:   3404.4 | Buffer:  716800 | Elapsed: 6323s
[SAC] Step  727040/1000000 | Eval:   3176.5 | Buffer:  727040 | Elapsed: 6406s
[SAC] Step  737280/1000000 | Eval:   3383.3 | Buffer:  737280 | Elapsed: 6488s
[SAC] Step  747520/1000000 | Eval:   3396.9 | Buffer:  747520 | Elapsed: 6571s
[SAC] Step  757760/1000000 | Eval:   3328.3 | Buffer:  757760 | Elapsed: 6649s
[SAC] Step  768000/1000000 | Eval:   3398.8 | Buffer:  768000 | Elapsed: 6723s
[SAC] Step  778240/1000000 | Eval:   2843.6 | Buffer:  778240 | Elapsed: 6798s
[SAC] Step  788480/1000000 | Eval:   3310.9 | Buffer:  788480 | Elapsed: 6873s
[SAC] Step  798720/1000000 | Eval:   3325.7 | Buffer:  798720 | Elapsed: 6949s
[SAC] Step  808960/1000000 | Eval:   3357.0 | Buffer:  808960 | Elapsed: 7024s
[SAC] Step  819200/1000000 | Eval:   3338.3 | Buffer:  819200 | Elapsed: 7100s
[SAC] Step  829440/1000000 | Eval:   3317.1 | Buffer:  829440 | Elapsed: 7176s
[SAC] Step  839680/1000000 | Eval:   3369.8 | Buffer:  839680 | Elapsed: 7252s
[SAC] Step  849920/1000000 | Eval:   3366.8 | Buffer:  849920 | Elapsed: 7328s
[SAC] Step  860160/1000000 | Eval:   3352.8 | Buffer:  860160 | Elapsed: 7404s
[SAC] Step  870400/1000000 | Eval:   3354.8 | Buffer:  870400 | Elapsed: 7479s
[SAC] Step  880640/1000000 | Eval:   3274.5 | Buffer:  880640 | Elapsed: 7556s
[SAC] Step  890880/1000000 | Eval:   3339.0 | Buffer:  890880 | Elapsed: 7632s
[SAC] Step  901120/1000000 | Eval:   3377.2 | Buffer:  901120 | Elapsed: 7708s
[SAC] Step  911360/1000000 | Eval:   3407.6 | Buffer:  911360 | Elapsed: 7783s
[SAC] Step  921600/1000000 | Eval:   3399.0 | Buffer:  921600 | Elapsed: 7861s
[SAC] Step  931840/1000000 | Eval:   3419.6 | Buffer:  931840 | Elapsed: 7940s
[SAC] Step  942080/1000000 | Eval:   3401.7 | Buffer:  942080 | Elapsed: 8016s
